date,views,likes,comments,dislikes,shares,subscribersLost,subscribersGained,estimatedMinutesWatched
2022-03-26,231,4,0,0,1,0,2,365
2022-03-29,238,4,1,0,1,0,2,372
2022-04-05,327,4,0,0,1,1,2,540
2022-04-13,264,4,0,1,2,0,2,338
2022-05-22,318,4,0,0,0,0,2,529
2022-10-04,111,4,0,0,7,0,2,379
2021-04-08,162,5,1,0,0,1,2,68
2021-06-02,293,5,0,0,0,0,2,521
2021-08-13,136,5,0,1,0,0,2,204
2021-10-06,175,5,0,1,1,0,2,213
2022-01-12,264,5,0,0,2,0,2,290
2022-03-14,212,5,0,0,1,0,2,312
2022-05-03,225,5,1,0,5,0,2,648
2022-05-19,311,5,2,4,1,0,2,408
2021-07-01,27,6,1,0,0,0,2,115
2021-07-11,61,6,1,0,1,0,2,53
2021-07-18,102,6,0,0,0,0,2,224
2021-10-20,184,6,1,1,1,0,2,213
2021-11-14,236,6,0,0,5,0,2,494
2022-03-11,187,6,0,1,0,0,2,332
2022-05-23,301,6,0,0,1,0,2,453
2021-06-10,327,7,1,0,1,0,2,729
2021-07-19,114,7,2,0,0,2,2,135
2021-08-17,146,7,1,0,0,1,2,153
2021-09-23,106,7,1,0,1,0,2,184
2022-03-17,226,7,0,0,0,1,2,343
2022-03-25,173,7,0,0,1,0,2,238
2022-03-28,258,7,0,0,0,0,2,423
2022-06-09,397,7,0,0,2,0,2,757
2022-08-08,62,7,0,0,3,0,2,181
2021-05-27,283,8,2,1,1,0,2,364
2022-05-27,247,8,0,0,0,0,2,422
2021-05-30,299,9,2,0,0,0,2,340
2021-06-21,31,9,2,0,0,1,2,126
2021-08-30,159,9,2,0,2,0,2,153
2021-05-16,251,10,1,0,0,0,2,223
2021-10-15,156,10,1,1,1,0,2,204
2021-03-30,155,11,1,1,0,0,2,104
2022-06-13,171,11,0,0,1,0,2,613
2021-04-22,252,12,2,0,1,0,2,336
2021-05-11,250,12,1,1,0,0,2,295
2022-04-24,204,14,2,0,0,0,2,807
2021-05-13,276,18,1,0,1,0,2,466
2021-03-17,245,19,11,0,1,0,2,117
2021-04-30,185,52,0,0,1,0,2,85
2021-06-09,231,-2,0,0,0,0,2,226
2021-12-18,145,0,0,1,0,0,3,169
2021-06-12,126,1,0,0,0,0,3,60
2022-01-15,257,1,1,0,0,0,3,263
2022-01-23,276,1,0,0,1,0,3,311
2021-04-18,225,2,0,0,0,0,3,241
2021-07-05,107,2,1,0,0,0,3,136
2021-09-29,91,2,0,0,0,0,3,121
2021-11-04,164,2,1,0,2,0,3,317
2021-11-11,168,2,1,1,4,0,3,181
2022-01-29,244,2,0,0,0,0,3,246
2022-04-02,301,2,0,0,0,0,3,483
2022-05-08,290,2,0,0,4,1,3,874
2022-06-03,260,2,0,1,0,0,3,414
2021-08-11,161,3,0,0,0,0,3,200
2021-12-22,137,3,1,0,2,0,3,202
2022-01-19,300,3,0,0,1,2,3,395
2022-04-22,108,3,0,0,0,0,3,263
2022-10-05,89,3,0,0,3,0,3,242
2021-05-23,219,4,2,0,0,0,3,176
2021-09-14,102,4,1,0,0,0,3,225
2021-09-28,108,4,2,0,0,0,3,169
2021-11-27,144,4,0,0,13,0,3,207
2021-12-30,158,4,0,0,0,0,3,150
2022-01-26,283,4,0,0,4,1,3,350
2022-03-05,193,4,0,0,1,0,3,301
2022-03-07,188,4,0,1,2,0,3,359
2022-04-18,328,4,1,0,6,0,3,732
2022-05-28,245,4,1,0,3,0,3,337
2021-04-01,71,5,2,-1,0,1,3,30
2021-04-17,181,5,0,0,1,0,3,92
2021-12-02,56,5,0,1,0,0,3,187
2021-12-14,211,5,0,0,1,0,3,312
2022-02-12,294,5,0,0,4,0,3,406
2022-02-18,266,5,0,0,2,0,3,275
2022-03-21,237,5,1,0,2,0,3,431
2022-03-24,201,5,0,0,3,1,3,311
2021-04-06,194,6,1,0,0,0,3,118
2021-04-09,138,6,1,0,1,2,3,70
2021-04-25,253,6,2,0,1,0,3,149
2021-10-25,188,6,0,0,1,0,3,187
2022-01-17,257,6,0,1,2,2,3,205
2022-04-28,171,6,2,0,1,0,3,456
2022-06-02,266,6,0,0,0,0,3,370
2021-05-03,128,7,1,1,0,0,3,174
2021-08-20,139,7,0,0,0,0,3,170
2022-01-30,293,7,0,0,3,1,3,427
2022-04-17,300,7,1,0,2,0,3,456
2022-04-25,198,7,1,0,1,0,3,462
2022-10-06,125,7,0,0,1,0,3,383
2021-04-16,160,8,1,0,0,0,3,413
2022-05-25,321,8,0,0,5,0,3,505
2022-05-30,348,8,0,0,4,0,3,614
2022-05-07,166,9,0,0,2,1,3,511
2021-03-29,171,10,4,0,0,1,3,83
2021-04-10,199,10,3,0,0,2,3,129
2021-05-08,253,10,0,0,2,0,3,344
2021-12-12,224,10,1,0,4,0,3,296
2022-04-19,300,10,1,0,1,0,3,494
2021-03-14,213,11,0,0,1,0,3,74
2021-04-05,151,11,3,0,5,0,3,140
2021-11-22,212,12,1,0,0,1,3,396
2021-03-15,185,15,0,0,1,0,3,120
2021-05-06,221,18,2,0,1,0,3,402
2021-12-26,127,0,0,0,0,0,4,89
2021-12-20,180,1,0,0,0,0,4,164
2021-08-25,158,2,0,0,0,0,4,270
2021-12-13,217,2,0,1,0,0,4,301
2022-02-21,331,2,0,0,2,2,4,504
2022-03-22,229,2,2,0,2,1,4,379
2022-05-14,91,2,1,0,0,0,4,285
2022-05-21,243,2,0,0,1,0,4,270
2022-10-01,56,2,0,0,0,1,4,195
2021-10-02,115,3,0,0,0,0,4,102
2022-01-11,259,3,0,0,2,0,4,284
2022-03-20,241,3,0,0,1,0,4,303
2022-04-08,232,3,0,0,0,1,4,368
2022-04-12,250,3,0,0,2,0,4,352
2021-07-06,82,4,1,0,0,0,4,94
2021-09-06,111,4,1,1,0,0,4,218
2021-10-22,144,4,0,1,1,1,4,162
2021-12-21,153,4,0,0,0,0,4,131
2021-12-23,149,4,0,0,0,1,4,138
2022-01-14,235,4,0,0,1,1,4,321
2022-01-25,260,4,0,0,1,0,4,329
2022-01-28,243,4,0,0,0,2,4,260
2022-03-06,286,4,0,0,1,0,4,586
2022-04-27,170,4,1,0,6,0,4,469
2022-05-20,280,4,0,0,2,0,4,408
2021-05-26,278,5,1,0,0,0,4,330
2021-07-26,91,5,1,0,0,0,4,74
2021-10-10,161,5,0,0,0,0,4,240
2022-03-10,248,5,0,0,1,1,4,316
2022-04-14,243,5,0,0,0,0,4,359
2021-07-22,93,6,0,0,0,0,4,84
2022-02-24,356,6,0,1,2,0,4,538
2022-03-27,257,6,0,1,1,0,4,423
2021-03-27,205,7,3,0,0,0,4,158
2021-04-11,235,7,1,1,2,2,4,194
2021-08-03,134,7,2,0,1,0,4,207
2022-02-13,311,7,0,0,3,0,4,399
2021-10-11,191,8,0,0,0,0,4,320
2022-02-20,328,8,1,0,1,1,4,415
2021-04-26,247,9,1,0,1,0,4,334
2021-05-17,262,9,1,0,1,1,4,269
2021-10-07,163,9,0,0,1,0,4,210
2022-02-14,319,9,0,1,3,1,4,444
2022-05-05,236,9,0,0,1,1,4,621
2021-03-21,299,10,2,0,0,0,4,83
2021-04-29,235,11,1,0,3,1,4,249
2021-05-31,353,11,2,0,3,0,4,406
2021-04-12,251,13,1,0,3,1,4,224
2021-05-09,288,13,2,0,4,0,4,410
2022-05-15,176,15,0,0,2,0,4,709
2022-05-26,300,15,1,0,2,0,4,626
2021-03-11,179,16,2,0,1,0,4,165
2021-04-13,244,17,4,0,1,0,4,296
2021-10-27,212,17,0,0,6,0,4,251
2021-05-04,192,23,1,0,0,0,4,359
2021-04-15,266,24,1,0,2,0,4,336
2021-04-14,321,27,1,0,2,0,4,395
2022-02-23,339,0,0,0,3,0,5,458
2022-06-06,326,3,0,0,2,0,5,552
2022-06-07,362,3,1,0,1,0,5,688
2021-09-26,93,4,1,0,1,0,5,123
2021-12-01,48,4,1,0,0,0,5,141
2022-03-23,224,4,1,1,1,0,5,345
2021-09-20,95,5,0,0,0,0,5,172
2021-03-23,241,6,1,0,0,0,5,105
2021-06-06,219,6,2,0,0,0,5,329
2021-11-23,185,6,0,0,1,1,5,311
2022-06-11,299,6,1,0,2,0,5,458
